PostID,CommentID,Combative,Deliberative,Text,Toxicity,Rationality,Mutual Respect,Emotion,Moderator,Diversity
post_1,post_1_0,0.0,1.0,"When you see two of your enemies fighting, leave them to it.",0.060899654658268,0.7896899580955505,0.9985983967781068,0.954781174659729,0,1
post_1,post_1_1,1.0,0.0,"Harvard is damaged beyond repair.  Harvard Corporation should have acted sooner with more spine.

And a few commenters to the article noticed this:

>“Because the students included as the result of Monday’s amendment are not in good standing, we cannot responsibly vote to award them degrees at this time.”

Meaning that they’ll confer the degrees when this blows over.  Fuck Harvard.",0.9241120303428196,0.1701250076293945,0.999799907207489,3.933906555175781e-06,0,1
post_1,post_1_1_1,1.0,0.0,I read into it that the students protesting are shitty students who wouldn't graduate anyway. Which would explain why their demands were to have their tuition paid off and degrees for everyone.,0.5844273752823101,0.5997976660728455,0.9998090863227844,0.0023730993270874,0,1
post_1,post_1_1_1_1,0.0,1.0,I could see it ,0.0271926477028563,0.8876933455467224,0.9910860657691956,0.9979152977466584,0,1
post_1,post_1_1_1_2,0.0,1.0,"Pretty hard to fail at that level. Most places like that just give a passing grade and are done with it. 
It would actually hurt their standings if they have people fail there 4 yr graduation rates",0.0739510029559458,0.1497896313667297,0.919527530670166,0.9987355470657348,0,1
post_1,post_1_1_1_2_1,0.0,1.0,This was my thought when these protests first started popping up. Schools and their boosters/financial supporters are NOT going to enjoy those drop in number of graduates.,0.025429197731883,0.5486868619918823,0.9987163543701172,0.0003633797168731,0,1
post_1,post_1_1_1_2_1_1,1.0,0.0,Yeah it sure is they almost don't care most of they're endowments are so large they can run their schools off of them in perpetuity,0.1691385828471956,0.0049923658370971,0.9991136193275452,0.0032110810279846,0,0
post_1,post_1_1_1_3,1.0,0.0,"Naw, these ivy leagues work so that once you’re in it’s impossible to fail out.",0.1177474788823106,0.0047494173049926,0.9997902512550354,0.9992638230323792,0,1
post_1,post_1_1_1_4,1.0,0.0,"Based on some of the other comments, maybe they’re the shitty students that would have been been failed if they had attended a non-Ivy League university.",0.7115437364680125,0.3370243310928345,0.9998067021369934,0.0005306303501129,0,0
post_1,post_1_1_2,0.0,1.0,"This.

It's just a technicality, once things calm down and people stop caring they'll quietly move them back to good standing and will grant the degrees quietly.",0.0229541945643225,0.1365736722946167,0.9874607920646667,0.935286581516266,0,1
post_1,post_1_2,1.0,0.0,They'll just blame it on the Jews.,0.5658486877637201,0.9149237275123596,0.9995923638343812,9.0867280960083e-05,0,1
post_1,post_1_2_1,1.0,0.0,https://i.kym-cdn.com/photos/images/original/000/960/985/f5c.jpg,0.0280441267159981,0.6761617660522461,0.5777035355567932,0.9982492923736572,0,1
post_1,post_1_2_2,1.0,0.0,"Well ofcourse. Even though they're probably the smallest race/religion/nationality in the world, they secretly control all the levers of power across all levels of public and private society.",0.0368035191462046,0.0058569312095642,0.8948962688446045,0.9992130994796752,0,1
post_1,post_1_3,1.0,0.0,My guess is that some non-tenured faculty are going to be fired and budgets will be cut.,0.1721324293268849,0.2410014867782592,0.9965386390686036,9.35494899749756e-05,0,1
post_1,post_1_4,0.0,1.0,Slow clap,0.0489491631453751,0.6744861602783203,0.899836003780365,0.0106894969940185,0,1
post_1,post_1_5,1.0,0.0,This not at all exaggerated news story is proudly brought to you by MSM!!!,0.0283805293303616,0.0388854146003723,0.984178364276886,0.1556575894355774,0,1
